grp,REval,REsd,RErangeL,RErangeH
6K,-0.4896417321634754,0.27993492579187673,-0.5894761803703148,-0.2890869291265909
6N,-0.3481757238872345,0.38520772872924336,-0.4218006092117445,-0.20875535821032912
6A,-0.31133125635135384,0.4075103385424496,-0.41844486412965143,-0.17502703068967274
9X,-0.24492156769111492,0.42008913587498625,-0.32707232814310505,-0.13297178081239344
5H,-0.2614342423658067,0.2773943902588928,-0.35286483324970686,-0.19588354191735366
5A,-0.21947983189298867,0.38562717285014586,-0.3088171423687656,-0.11717321505686241
9J,-0.20299623260203434,0.3849223225115907,-0.26384346653117086,-0.12681040826624312
6G,-0.21766530413966834,0.40250774459757394,-0.3194868758933475,-0.10846786159570515
9M,-0.20389194186399112,0.38947823424261274,-0.2632737682022567,-0.12481680684875464
4O,-0.17734968886755947,0.4294959035836363,-0.24075650940125526,-0.120666541200107
4P,-0.11520689156288115,0.4138961513768986,-0.15229078361408763,-0.06310483592963816
8W,-0.14839481868980736,0.3505615226905985,-0.23113879435308016,-0.11657048591131321
4U,-0.11841151334162925,0.43719744952594713,-0.1627625460868867,-0.05817115140051116
7P,-0.1454441357522655,0.42868099032223217,-0.20067077657902282,-0.09008911898023661
9T,-0.13944456089000273,0.42108733703025497,-0.18989719469079386,-0.08869377798732035
4H,-0.06480479439482842,0.4381135916165644,-0.0952310076461998,-0.04999759812339522
7S,-0.08192032903845808,0.4308560670732806,-0.12881296701800954,-0.0380198430339691
6C,-0.0938135246121614,0.3819139964114419,-0.17008923572453985,-0.01808243518002745
4R,-0.05534388664482709,0.42901686402752326,-0.07269091402006561,-0.02713987007813444
9R,-0.04695136819398315,0.4070631521222643,-0.07132889431756405,-0.015582820506799497
9N,-0.049670468498371645,0.43943806066132174,-0.07273698527939568,-0.033568626445359455
9K,-0.07077815284023307,0.4116316240406268,-0.10793702084997792,-0.024691477566458595
6J,-0.059830055435194415,0.40287772825069795,-0.09129082711670197,-0.03641103755051961
8Y,-0.05297411188781019,0.43936455858318446,-0.11684829273632952,-0.03442691673634996
6R,-0.006458296577354238,0.3510570698002647,-0.08471630869477864,0.05449718746544023
7R,0.022394356174836236,0.41196734189841194,-0.016662022870216172,0.052998512927641496
4G,-0.017184408865718242,0.4072576070887426,-0.03295513228936723,0.006906112868181903
9P,0.013761961700646912,0.3899780546860696,-0.026754247665390977,0.04942405332663982
9W,-0.002724826951601441,0.41480252142508606,-0.030429404010210912,0.05796079426104815
6S,0.008202936752760766,0.408028759565068,-0.04687398797765165,0.05351853364105093
3G,0.022082975121289376,0.44323557763921767,0.010137233869991134,0.03561437388388929
8X,0.033319967902832426,0.4414355683806094,0.021490556103281454,0.0462625927855278
4K,0.02647529987941692,0.4425913106417817,0.012618414671846913,0.039916405608029004
5T,0.08518192728625944,0.43705239658363526,0.04493414925175788,0.13170846393766175
3H,0.030870979062765314,0.41910951292607623,-0.0015709291953232211,0.06474508962050814
6F,0.08125928111690695,0.4110709452915857,0.059875906228486896,0.14985140862221638
4C,0.11344247266284922,0.43677491990428324,0.06275297453350102,0.15082850515981547
4L,0.1033375047191889,0.43665968194926186,0.06989463832704428,0.13774750263741461
4A,0.09865150848252133,0.4367552426269908,0.06778118811765953,0.12754566981259635
3K,0.12035448117652099,0.43705775130028257,0.0633398016124525,0.18736202602104726
5S,0.09533633668082263,0.4320088232767204,0.047497645481260585,0.11766364672413525
3C,0.09000950713355897,0.4376883598483443,0.04355523462575684,0.12531502647213807
4W,0.1319200519591438,0.4376183040772269,0.05937673519366466,0.17592519346872368
5C,0.12655976121866658,0.33329566086602674,0.06100089234268294,0.24017749152833748
7A,0.1810241149629904,0.4166222473555865,0.104663137394192,0.2559176769025209
4S,0.12343571008341606,0.42786966183752345,0.0968376069750316,0.18319917196731272
7M,0.1682991944851167,0.3439168783594607,0.1283294777109791,0.22920906726686868
3J,0.12098174171958419,0.4317440390356395,0.03373154148383596,0.20724524000098815
5G,0.15613528868663956,0.3865193310229245,0.12558284715243365,0.20846926296877896
8T,0.18679329892178093,0.4265379820558756,0.11306699158260587,0.23631147841754715
5R,0.222312473287273,0.4179693266923139,0.1647038818083891,0.27773801234160395
5F,0.34079366057055477,0.4055904183879954,0.1759943889081708,0.46911438495599045
3A,0.4115388067231954,0.39812223645385514,0.19745289715335682,0.5849869415504896
5J,0.3128815731320931,0.3510760839769215,0.2404500432494417,0.3822680207002243
4F,0.44408752311816985,0.36156659486508996,0.2886337065211229,0.5314236770664214
