grp,REval,REsd,RErangeL,RErangeH
5G,-0.22893389998623337,0.26163815773136934,-0.34219737843110015,-0.10246634856138624
5H,-0.15154972836923813,0.2259534346041318,-0.24517309271682747,-0.06742364206966411
6A,-0.12141178144494462,0.2702844089721561,-0.17414993182251437,-0.05372035443017187
5C,-0.08536464369727481,0.24472138516985412,-0.14272633567576978,-0.021839767872885385
8W,-0.10313755866102713,0.2536732306437829,-0.1801135627223395,-0.06338738568732738
6G,-0.0744345535002196,0.27034952340588625,-0.1068172152844888,-0.033373859259627194
6J,-0.0517993301784513,0.26853074785450487,-0.09902064505615114,-0.02055784051247046
7R,-0.05890545912578513,0.27158799254121574,-0.09308878394082393,-0.029983257003099915
9K,-0.07080448631241516,0.27136519730664954,-0.10660285415406934,-0.03731402307443431
9R,-0.06254930804990914,0.27038923077436205,-0.10486762100838559,-0.028677707867268507
9W,-0.06098320437200452,0.2713503630691532,-0.08855624144022156,-0.02622433586057531
5A,-0.06169563425369546,0.2640932379356782,-0.08497624539573388,-0.02138996400976801
7A,-0.06000450096940966,0.2719800846245613,-0.08275063387013812,-0.032000151361337055
4H,-0.04723122728883,0.2771371688070862,-0.07537920474490598,-0.020392281667100897
3K,-0.04927683964243607,0.27721860209870497,-0.08664235222453837,-0.019381455421021748
4R,-0.04346850464173522,0.27596204715311984,-0.07413608762754655,-0.025196498262217537
4C,-0.04463015156561985,0.2770728998189427,-0.06803902570862973,-0.023869465194051257
9N,-0.03655894393206702,0.2770866897788444,-0.057918311074131874,-0.016115189946338534
4P,-0.02189170543583254,0.273462531591649,-0.047097224625031145,-0.006716677486720916
6N,-0.019233819917075293,0.26576611585581567,-0.04069953498229513,-0.0026728118573074093
4O,-0.026913359157311616,0.2752555158138693,-0.049409287842570586,-0.012437562980268907
9P,-0.013796206420849885,0.26635157104952717,-0.027241526294110557,-0.004025099033402878
5R,-0.027802667494213843,0.27387294879403706,-0.06292898671175816,-0.013766416322197737
7P,-0.015236362369904664,0.27453386242967875,-0.021271539852378844,-0.008079124955389896
9T,-0.012036269895077788,0.2735529871666351,-0.01890064404144514,-0.006366354699227477
6F,0.006565728195896252,0.2710499699744585,8.658918045898727e-5,0.014643610211199478
4G,2.302184982850942e-4,0.26776383848571006,-0.006559508802515794,0.0049073412348434094
8X,0.007127191887272138,0.27905865790333806,0.0031369387189511652,0.010424261663378875
3G,0.006029675474381265,0.27919218804932966,0.0019625477117755346,0.0118245751167482
9X,0.007723048902659644,0.27228290062763666,-0.0015106799704076228,0.016385957748522573
4K,0.007593763677755136,0.2789968451085592,0.0023243729895959667,0.015734981256137898
4U,0.01582721035533199,0.2781450911514919,0.004414272720756448,0.032602515420051256
5T,0.01828074252565805,0.2779360666457386,0.006979913492062826,0.03718410574614107
9J,0.012596460812562998,0.2642643554266529,0.00122555514733123,0.032527777476982274
3A,0.03796515131815397,0.2680787805204762,0.009207828966372457,0.06225527235063936
5S,0.02019298728699218,0.2774301030912148,0.00865299271335931,0.032740526760914684
7S,0.02203673182766469,0.2772364358751647,0.008563939421938081,0.03572999494156076
6S,0.02534049947808751,0.26990075691585325,0.012098196082503388,0.049364197348484296
4A,0.021627253027452383,0.27766609820596344,0.007399923367173526,0.03884646363649308
3C,0.021564958454112115,0.27780877478990373,0.005099079401857856,0.04170877398131762
4L,0.026450765605279137,0.2774562657794729,0.00815513825489741,0.04285687629496096
4W,0.0380829480344377,0.2770972329523527,0.018420897627058737,0.06400253015101398
3J,0.027612829586061198,0.2767873309126387,0.0049966369384732276,0.06177258914485954
4S,0.03169006980451071,0.27604291071031817,0.01171658349772084,0.056906464842648316
8Y,0.037663810014416314,0.2771647895242696,0.019246296732773865,0.06263944116599984
3H,0.043714472964906326,0.2749790823680805,0.018718329700958495,0.06429553852821784
8T,0.0487650223053749,0.2750728869323429,0.020858221268051192,0.0788980738155961
9M,0.052898764145968835,0.26663230546659494,0.015350867558887421,0.09313629335988989
6K,0.05957772211585927,0.22671077163200126,0.017092948554798197,0.1257817284938464
5F,0.10928294033732938,0.26951127514907597,0.051592068352494136,0.1837973062015078
6C,0.1234311166896318,0.2619733736026534,0.06084692949870787,0.18618973078525708
6R,0.13457515799925565,0.25397748316546714,0.07350015842572116,0.21906188409503632
5J,0.15702831174892684,0.2526438748207611,0.0693578334949706,0.23084710394993974
7M,0.17986662701746442,0.252043000802001,0.0914962775331656,0.28866254782269923
4F,0.19177339225608458,0.25648930035050077,0.09262036198536978,0.2911822741274362
