grp,REval,REsd,RErangeL,RErangeH
5H,-0.05853200004228014,0.09391673386248246,-0.10980510911873943,-3.305473297864975e-8
6N,-0.03453899122198969,0.08398000146751372,-0.059625621807415236,-1.6341916533828342e-8
9M,-0.024059474310566133,0.07270973785158877,-0.045751274192122784,-1.229313143371649e-8
6A,-0.025643275738676162,0.07557127353701362,-0.044604771131876136,-1.2297743300524141e-8
5A,-0.016741724304034748,0.06558591944998372,-0.02901351601794769,-7.2438788538901945e-9
6K,-0.023089867917393668,0.06307208671946292,-0.039967177624194314,-9.923893606706484e-9
4H,-0.009263960742153896,0.06321378492450404,-0.016577048031715738,-4.2440225802630764e-9
7P,-0.01024937497595852,0.06364665258218645,-0.017691592143340585,-5.372166030238076e-9
4S,-0.008710371554820465,0.06172455069638656,-0.014350631489804864,-5.3220284092861475e-9
4U,-0.006449713365537864,0.062127264324556536,-0.013505383143734454,-3.2485891399348886e-9
6G,-0.010417009821502152,0.06274198522493683,-0.017000540023729784,-4.515537321613809e-9
7R,-0.007695866142098877,0.061520002209769616,-0.014876177852027954,-4.671559123455339e-9
4O,-0.00785610715775955,0.06224881651383916,-0.014704220927625888,-5.024683963323811e-9
9X,-0.007563937201236143,0.06180396005972256,-0.014547510906583534,-3.4117664373445897e-9
9W,-0.007349618242363689,0.06085078112196143,-0.013364359947443475,-3.6026005298424924e-9
9N,-0.006623881083860313,0.062127172909692274,-0.012178971434113424,-3.2486526102996836e-9
9T,-0.0060628440204556966,0.06095684557403908,-0.012127438066868033,-2.659697127138043e-9
5G,-0.008696185912612854,0.06069287123868202,-0.017533338163241676,5.337441189807106e-10
4G,-0.006486582399720141,0.060517884984733095,-0.01357499811110751,-5.181595445741272e-9
9J,-0.0035639496202228794,0.0584902020172495,-0.009573085423797747,-1.8661129698694867e-9
4P,3.1263055538297354e-4,0.05927250231728339,-0.0023941845494206975,0.003648033255482381
9P,-0.0020152908433285184,0.05835278828689562,-0.0046571714405896705,-9.682104526153185e-10
3G,-0.001387027829242569,0.0604062554807428,-0.0064986498864497595,0.0016619546904879272
4C,-0.001602897691460529,0.06088908224850816,-0.004078545820763131,-1.1897145270584098e-9
7S,-0.0014118168397294682,0.060175661253288736,-0.00499450324284651,0.0012305524140087793
5R,-9.665180620759887e-4,0.05921967728711925,-0.007516196636147529,0.0039217280558116316
6S,7.768320694535312e-4,0.05930791845440129,-3.4208230038374827e-4,0.004079702752118815
6C,-0.00129144612336512,0.05900231617971238,-0.004420387849374416,9.81210751209029e-4
5T,0.0024490660742978627,0.06086417781121794,9.014911876113393e-10,0.005188607888996263
9K,-0.0028965160912236723,0.0592904734239404,-0.008005638742114544,0.002073024861328324
6J,0.0034064362931218077,0.05942014524899282,2.9960073374504002e-9,0.007633260989806118
8W,0.0064319570231914,0.056599055988905904,3.5419596879083664e-9,0.014167234971368596
3K,0.0034685141138926633,0.061201399066539375,1.7224431333433176e-9,0.006562649822588472
4L,0.003445685572245715,0.06109759207779355,1.9904640170662587e-9,0.005973005648618194
8X,0.004517800987097742,0.06111415385881028,2.5543047418168242e-9,0.007656635417070113
3J,0.0025841308821675842,0.060763496450594895,-0.0032323351555372313,0.018255596746100514
5S,0.005185292998837918,0.06085594732283463,1.4062716289120471e-9,0.009753092310324913
8Y,0.005325894993795347,0.06178016748924613,2.498154499657246e-9,0.009404381492648224
4K,0.003500525114349263,0.06087831989007684,7.661391866389276e-10,0.008678466516032447
6F,0.005799738921477431,0.060138758628798146,2.347512572375984e-9,0.010423423738678517
9R,0.006149414961220019,0.06016930928241178,3.286151222204859e-9,0.010235564803778572
7A,0.005244511953603907,0.06023269154495012,1.32760260215107e-9,0.011605639319893233
7M,0.008526328838905672,0.05728865814892507,4.55648461954358e-9,0.014416624059990297
3H,0.010156143177198585,0.0628957114643122,5.693527749941381e-9,0.01944264574870193
3C,0.00793451723873697,0.06256417637868293,5.106698692888654e-9,0.018508759908666884
4R,0.012099059055400145,0.06429010207829539,4.939668504431495e-9,0.02449486720350533
4W,0.01085993376785952,0.06438363482479044,4.69612133895739e-9,0.020132697762957216
4A,0.015331990153023983,0.06737519731895376,7.312886240752374e-9,0.026979886916869738
6R,0.015658213109766023,0.062476230049901126,7.4414413111328935e-9,0.02692312177042465
5C,0.008172743111467188,0.05960985174390696,-0.0017714816956854002,0.019298119410554995
3A,0.025334871527519908,0.07315978057464241,1.3630066756684596e-8,0.043853407387524065
8T,0.025824156905287703,0.0776191318202625,1.186229801522457e-8,0.04460637360252456
5F,0.02843690386956187,0.07796755262995216,1.3556035418456367e-8,0.04918380066039848
4F,0.04474527921909092,0.09485898303795887,2.139680373810053e-8,0.0743387114546478
5J,0.040145899316272965,0.0863066513875304,2.0017180258647037e-8,0.07575687758717835
