grp,REval,REsd,RErangeL,RErangeH
5G,-0.24958160433835147,0.27753797802497765,-0.3117025260873067,-0.17880966488005662
6A,-0.16112584765264407,0.2883949807516826,-0.20432967740789953,-0.118523501431374
5C,-0.14065289156320274,0.25996482334162274,-0.19848463167292338,-0.08754385674639699
5H,-0.14008606217519715,0.2372233479457299,-0.18986864224193306,-0.06128595799145088
6G,-0.09777083148103932,0.2890187725201218,-0.12137803372035226,-0.07128119919296165
9K,-0.08703729014003939,0.28904398737646175,-0.10686019896372578,-0.06399686103218688
9W,-0.0834509559340814,0.2893965506020293,-0.10972897216029444,-0.05716880843961647
5A,-0.09087243080013098,0.28175029867087986,-0.1127969917227195,-0.055337518335194
8W,-0.07664207777470651,0.2672531399620558,-0.08949112445575574,-0.06916411454623386
7R,-0.07241532917915439,0.28907373557875243,-0.09006465167920565,-0.060144726394170483
6J,-0.06466915835222506,0.2860676388982589,-0.08147614509307771,-0.04974339242598392
9R,-0.06221264968267359,0.287230248690795,-0.0825901311964083,-0.04468356451134099
4H,-0.051688120540241585,0.2953518015566824,-0.0662593704464739,-0.035068256558396065
9N,-0.047196037350361104,0.29527961459126395,-0.06349434955840426,-0.03309444691339019
6N,-0.04217319373369555,0.2840492616996954,-0.05353524564614304,-0.03390515525416855
3K,-0.04953008191281341,0.29530717708826115,-0.062390267323653145,-0.03471374001053742
4C,-0.0431540945021292,0.29527798923075366,-0.05407341390913345,-0.028506285550701366
7A,-0.05022767785369839,0.28854208319379704,-0.0631068176472064,-0.03886664174153757
4O,-0.03281054413546971,0.2934344967110916,-0.04313019632712364,-0.018613464169520928
9P,-0.01893302310913883,0.28300398062743437,-0.03177913636840252,-0.012196021637571667
7P,-0.02686433047802149,0.2926949837064978,-0.035831402260256176,-0.017756257141421802
9T,-0.01697610142733218,0.2915458470767628,-0.030602473648502486,-0.007605100857658221
4R,-0.025640800641437703,0.29279662894799285,-0.03382782304473596,-0.020329513355280687
4P,-0.016442228403026855,0.29060191058280954,-0.020266142943189038,-0.009503166847129138
4G,0.005035010657049756,0.2846938664170748,0.002040464842288171,0.01029930472173854
6F,0.0029830769599163997,0.2886940600140059,-0.002179407516583745,0.010716451490649207
8X,0.007024276667514751,0.2976246539644641,0.004479200944956278,0.00930106383180888
9J,0.01023645942174589,0.28128722851543003,0.002936436007496575,0.018894767870650194
4K,0.01196474123314944,0.2970546886181398,0.009579729152327172,0.015230390795977202
3G,0.014042336439460585,0.2968268045483252,0.011171593667256364,0.020755888295531155
5T,0.01582451612840304,0.29664963473206174,0.010217570146963128,0.019453136261459184
5R,0.005378896051035272,0.28908004447404617,-6.502252928403177e-4,0.014187514512426527
4U,0.021632360266636598,0.29615440293778816,0.016185289271323244,0.027178420090460124
4A,0.0224456808598537,0.2961007256556011,0.019205717117911792,0.027951761387897255
9X,0.029089461391045283,0.2897004972764247,0.013340493655993843,0.048294983654337355
5S,0.025962619057364203,0.2953113442407179,0.01867099275818555,0.03406133288958453
7S,0.02845622796326468,0.29504876528733376,0.018956909411722206,0.03690169619588163
6K,0.047919435273161656,0.2388118768485073,-0.008572316448061262,0.08870066461620349
4W,0.034715093662268354,0.295441666136473,0.026465627404875756,0.0435285315959605
8Y,0.037014453502614925,0.29537877208640173,0.02519886394600154,0.04364855902111798
4L,0.039668353790575046,0.29531899977370046,0.031319653060944426,0.0512728980069432
3J,0.038283759528313206,0.29429131928500935,0.032731105105180715,0.04648690445559563
3C,0.03771867235947665,0.295358718302764,0.027647176191649872,0.04798134545287846
9M,0.05851363403568297,0.28337684632245774,0.04034539874080912,0.0702054296439991
6S,0.03638407132743851,0.2873007664815473,0.02594681447882478,0.04907978359914708
3A,0.04586197960334405,0.28442416139644405,0.03790768508884551,0.052031748118657496
8T,0.04715269719113639,0.293504278765755,0.0297088110395526,0.065392721546486135
4S,0.05828454259890922,0.2920691173920235,0.04380308324718274,0.07526141124501838
3H,0.07094346525907554,0.29104136719247503,0.05587334410192611,0.09043521932093407
6R,0.08992069140128262,0.27251335506269286,0.057258374968075745,0.12063563100766
6C,0.11234378653997468,0.279390126964262,0.07677994273796479,0.14219457819442707
5F,0.1198307984800032,0.28696520003170245,0.08878002486131575,0.1544799914577558
7M,0.15452946211497154,0.268104534408395,0.09333736663675403,0.19584599974078384
5J,0.23822612758180373,0.2653087392978038,0.1902791309906321,0.29807242140832557
4F,0.21478670466681246,0.271509851323227,0.16658917905122553,0.2667313431102083
